Text,Polarity
বেটা উয়েকেট পিচে ছাগল দিয়ে বল করালে ও উয়েকেট পাওয়া যায় এটা এখন সবাই বোঝে।,negative
রাজ্জাক ভাই নাকি পারে না,neutral
"রাজ্জাক ভাইয়ের সাথে সাথে সিলেকশন কমিটিকেও আন্তরিক ধন্যবাদ, ওনাকে সুযোগ দেওয়ার জন্য।",positive
"মামু, চাচা নেই বলে অবহেলিত ক্রিকেটার আব্দুর রাজ্জাক কে, দীর্ঘ দিন থেকে জাতীয় টিমে নেওয়া হয়নি,",negative
"মামু, চাচা নেই বলে অবহেলিত ক্রিকেটার আব্দুর রাজ্জাক কে, দীর্ঘ দিন থেকে জাতীয় টিমে নেওয়া হয়নি,",negative
" সে সেরা,তাই সে ফিরলো সেরাদের মতো।ওয়েলকাম লিজেন্ড আবার দেখিয়ে দাও তুমি কে!",positive
" এই রাজ্জাক কে ১ম ম্যাচে বসে থাকতে হয়,এই নির্বাচক প্যানেল দিয়ে কিছু হবে না",negative
আঃ রাজ্জাককে জানি না কেন এতোদিন দলের বাইরে রেখেছিলেন নির্বাচকরা। ,negative
রাজ্জাক তুমি তোমার সেরাটা প্রমাণ করে দাও। ,positive
ধর্যের ফল যে সবসময় মিষ্টি হয় তার প্রমাণ হল রাজ্জাক ভাই।,negative
সালা সিলেক্টারদের জুতা মারা উচিত। ভালো খেলোয়ারদের সুযোগ দেয়না,negative
" মোমিনুল, রাজ্জাক কতোয়না ভালো খেলছে। অথচ এরায় সুযোগ পায়না।",negative
" মোমিনুল, রাজ্জাক কতোয়না ভালো খেলছে। অথচ এরায় সুযোগ পায়না।",negative
রাজ্জাকের একটা উইকেট পাওয়া মানে একেক কর্মকর্তার গালে জুতা মারা। ,negative
"রাজ্জাক কে,সবাই ধন্যবাদ দিলেন, আর এই খেলাই,তামিম,মমিনুল,কায়েছ,মুসিকুর তারের কে, কি দেওয়ার উচিত,বলেন",neutral
"রাজ্জাক কে,সবাই ধন্যবাদ দিলেন, আর এই খেলাই,তামিম,মমিনুল,কায়েছ,মুসিকুর তারের কে, কি দেওয়ার উচিত,বলেন",neutral
নায়ক রাজ অলওয়েজ ষ্টার,positive
 রাজ্জাটেস্ট ম্যাচ এ সব পুলাপাইন দিয়া কাজ হয়না . অভিজ্ঞ ২/৩ জন লাগে,neutral
কারা যেন রাজ্জাক ভাইয়ের জায়গায় গাঁজামুল কে নিয়ে ছিল?,negative
"রাজ্জাক বুড়া হয়েগেছে খেলা পারেনা,তাহলে আজ কিভাবে কি করলো।",positive
"রাজ্জাক বুড়া হয়েগেছে খেলা পারেনা,তাহলে আজ কিভাবে কি করলো।",negative
" অভিনন্দন রাজ,নির্বাচকমণ্ডলীর মুখে নিরব চপেটাঘাত",negative
নির্বাচক কমিটিদের শ্রদ্ধা জানাই।,positive
" অভিনন্দন রাজ,নির্বাচকমণ্ডলীর মুখে নিরব চপেটাঘাত",negative
 প্রথম টেষ্টে মিস করলাম।,neutral
 দারুন। কেন যে থাকে বসিয়ে রাখা হয় বুঝি না।,negative
বস ফিরেছে বসের মতো,positive
রাজ্জাকের এমন পারফর্মেন্স দেখে কি এখন বিসিবির লজ্জাবোধ হয়না?,negative
রাজ্জাকের এমন পারফর্মেন্স দেখে কি এখন বিসিবির লজ্জাবোধ হয়না?,negative
 বাগেরহাট ফকিরহাটের কৃতি সন্তান,neutral
রাজ্জাক ভাই একটা ফ্লাটের দাবি করতে পারে,neutral
"অভিজ্ঞতা কথা বলতেছে আজ , ভালোবাসা রইলো রাজ্জাক চাচ্চু ",positive
অবহেলার জবাব এর থেকে আর কি হতে পারে!!,neutral
রাজ্জাক ভায়ের জন্য রইল শুভ কামনা।,positive
রাজ্জাক রাজ্জাকের মতোই ফিরে আসছে।,positive
রাজ্জাক রাজ্জাকের মতোই ফিরে আসছে।,negative
ধন্যবাদ রাজ্জাককে সুযোগ দেওয়ার জন্য।,positive
বিশ্বের যে কোন দেশ কে কাবু করতে পারে আব্দুর রাজ্জাক থাকে দলে নেওয়ার জন্য নির্বাচক কে ধন্যবাদ i ,positive
বিশ্বের যে কোন দেশ কে কাবু করতে পারে আব্দুর রাজ্জাক থাকে দলে নেওয়ার জন্য নির্বাচক কে ধন্যবাদ i ,positive
আমাদের বাগেরহাটের ছাওয়াল একজনের জন্য পুরো বাংলাদেশ হ্যাপি,positive
শিরোনাম দেখে ভাবলাম ৯৪-২ থেকে ৯৬-৪ হবার কাহিনি বর্নীত হবে  সাংঘাতিক সাংবাদিকতা,negative
"এই পিচে বাংলাদেশকে ৪র্থ ইনিংসে ব্যাট করতে হবে,যেখানে ১৫০ রানের বেশি টার্গেট চেজ করা কঠিন হবে।",neutral
"এই পিচে বাংলাদেশকে ৪র্থ ইনিংসে ব্যাট করতে হবে,যেখানে ১৫০ রানের বেশি টার্গেট চেজ করা কঠিন হবে।",positive
এই পিচে মুশফিকুর ছাড়া কেউ খেলতে খুব একটা স্বাছন্দবোধ করবে না,negative
২ম ইনিংসে পিচের রাফ জায়গা ও ফাটল গুলো বড়ো হবে বাংলাদেশের উচিত ২০০-২৩০ এর মধ্যে আটকে রাখা,positive
২ম ইনিংসে পিচের রাফ জায়গা ও ফাটল গুলো বড়ো হবে বাংলাদেশের উচিত ২০০-২৩০ এর মধ্যে আটকে রাখা,positive
 কি কারনে এত দিন দলের বাহিরে রাখা হয়েছিল বাজ্জাক কে? আজকের রাজ্জাকের এক একটা উইকেট ম্যানেজমেন্টর জন্য এক একটা......র সমান।,negative
আরে বুড়া মানুষ কামের না।ওরে দলে রাখছে ক্যান??,negative
কোটি প্রাণের আশা তোমরা পূরণ করে দাও। লাল - সবুজের বিজয় নিশান হাতে তুলে নাও ।,positive
এই পিচে রান করা টাফ বোলিং নিস্বন্দেহে ভাল হচ্ছে,positive
 প্রত্যাশা বড় ব্যাটিং বিপর্যয়ে না পড়ে যায় দল,negative
 প্রত্যাশা বড় ব্যাটিং বিপর্যয়ে না পড়ে যায় দল,positive
শুনলাম মিরপুর নাকি রাজ্জাক ভাই হাতুরা দিয়ে Sri Lanka তিন player মাথা পাটিয়ে দিলে,negative
" হাতুরে সিংহে এতো দিন,আঃ রাজ্জাককে খেলার বাহিরে রাখল কেন? ",negative
কোচ্ আঃ রাজ্জাকের ক্ষতি করে নাই।বাংলাদেশ ক্রিকেটকে পিছিয়ে দিয়েছন।,negative
কোচ্ আঃ রাজ্জাকের ক্ষতি করে নাই।বাংলাদেশ ক্রিকেটকে পিছিয়ে দিয়েছন।,negative
"আ. রাজ্জাকদের মত এমন ভালো প্লেয়ার এভাবেই অবহেলায় হারিয়ে যায়, আর এই অবহেলিত আ. রাজ্জাক তা বিছিবি নির্বাচকদের লজ্জায় ডুবিয়ে দেখিয়ে দিল।",negative
হেরাথ বল করলে বুঝা যাবে,negative
ঐ সব হ্লার পোলারা কই যারা বলে রাজ্জাক টেষ্টে ভাল করতে পারে না?,negative
রাজ্জাক সত্যি রাজকীয় ভাবেই মাঠে নামল,positive
বুড়ো হাড়ের ভেলকি ,positive
পাপন খেলা দেখেনি?রাজ্জাক কি জিনিষ মাঠে এসে দেখ,negative
এই রাজ্জাক কে প্রথম টেস্ট বসিয়ে রেখে সানজামুল কে খেলানো হলো ,negative
তুষার ইমরানকেও দলে সুযোগ দেওয়া উচিত,positive
তুষার ইমরানকেও দলে সুযোগ দেওয়া উচিত,negative
রাজ্জাক একলাই তিনটা সাবাস,positive
পিচে টারন আছে। খেলা ৪ দিনে শেষ হবে।,neutral
নির্বাচকমণ্ডলী বিশেষ প্রশংসার দাবিদার,positive
 এখন তো নিজেরাই দিশেহারা!!!,negative
 ওরা ত ২০০ করছে তোরা ১০০ করতে পারবে না,negative
 ওরা ত ২০০ করছে তোরা ১০০ করতে পারবে না,negative
 শিরোনাম দেখে ভাবলাম রাজ্জাক মনে হয় ৪-৫ উইকেট নিয়ে ফেলেছে?,negative
ভাল খবর।কিন্তু পরে অাবার যেন হেরাথে দিশেহারা না হয় বাঘেরা!!!,negative
ভাল খবর।কিন্তু পরে অাবার যেন হেরাথে দিশেহারা না হয় বাঘেরা!!!,negative
 টেস্টে সিনিয়র খেলাওয়ারে বিকল্প নেই,neutral
" টস হারছে মানে, হারার সম্ভবনাই বেশী।",negative
মিরপুরে ২য় ইনিংসে পরে ব্যাটিং করা কঠিন আর দলে মোসাদ্দেককে না নেয়াটা বোধহয় ঠিক হয়নি। তরপরও শুভকামনা।,positive
মিরপুরে ২য় ইনিংসে পরে ব্যাটিং করা কঠিন আর দলে মোসাদ্দেককে না নেয়াটা বোধহয় ঠিক হয়নি। তরপরও শুভকামনা।,negative
"এই সুযোগে অবসর নেয়া উচিত,,খুব ভাল হবে রাজ্জাকের জন্য",negative
"বাচ্চা হাড্ডির তো অনেক কারিশমা দেখলাম,এখন দেখি বুড়া হাড্ডি কী করে",negative
"মোসাদ্দেক, সাব্বির থেকে ভাল",positive
 মাহদুল্লাহ একজন পরিক্ষিত অধিনায়ক।,neutral
মাহমুদুল্লাহ হচ্ছে বাংলাদেশ ক্রিকেটের মীরজাফর।,negative
"মাহমুদুল্লাহকে টেষ্ট স্কোয়াডেই রাখার কথা ছিল না, সেখানে তাকে টেষ্ট সিরিজের অধিনায়ক করা হয়েছে।",negative
বাংলাদেশ সিরিজটিতে গো হারা হারবে।,negative
 হাথুরেসিংকে নিয়ে না ভেবে মাহামুদুল্লার উচিৎ এইবার শুধু বাঁশ খাবে নাকি আইক্কাওয়ালা বাঁশ খাবে সেটা নিয়ে চিন্তা করা।,negative
 যেখানে মাহমুদুল্লাহ টেস্ট স্কোয়াডে টিকে থাকাই প্রশ্নবিদ্ধ।সেখানে তাকে অধিনায়ক করাটা ২০১৮ সালের সেরা জোক,negative
 যেখানে মাহমুদুল্লাহ টেস্ট স্কোয়াডে টিকে থাকাই প্রশ্নবিদ্ধ।সেখানে তাকে অধিনায়ক করাটা ২০১৮ সালের সেরা জোক,negative
রিয়াদ ভালো অধিনায়ক।। বাট পারফমেন্স অধারাবাহিক।।,negative
রিয়াদ ভালো অধিনায়ক।। বাট পারফমেন্স অধারাবাহিক।।,positive
সাকিবকে যে যতই খারাপ বলুক অহংকারি বলুক আমার কাছে মোটেই সেরকম নয় বরং মনে হয় বাংলাদেশের ইতিহাসে দ্বিতীয় সাকিব আর আসবে না ,positive
গত বিশ বছরে অনেক কে দিয়ে চেস্টা করানো হয়েছে সবাই ফেল করেছে। তাই সাকিব vs বাকি দশ টাইগার।,negative
হাতুরুকে নিয়ে মাত্রাতিরিক্ত ভাবাভাবির কিছু নেই।,negative
"চাপ না নিয়ে যার যার দায়িত্ব নিয়ে স্বাভাবিক খেলাটা খেললেই হবে। জয়, পরাজয় কিনবা ড্র পরের ব্যাপার।",positive
।কিন্তু এখানে টিম বাংলাদেশ বলে কথা।তাই তিনি কতটা এই অধিনায়কত্বের ভার বহন করতে পারেন সেটা দেখার অপেক্ষায় আমরা।,neutral
অধিনায়ক হিসেবে তার নৈপুণ্যতা রয়েছে।সুতরাং মাহমুদুল্লাহকে অধিনায়কত্ব দেওয়া যেতে পারে।,positive
 যে যাই বলুক কোচ চন্ডিকা হাথুরুসিংহের গুরুত্ব কিন্তু অনেক বেশী।তা আমরা এই জয়টা খেলার ফলাফলে বুঝতে পেরেছি হাড়েহাড়ে একদম।,negative
সবাইকে দায়িত্ব নিতে হবে । আর ভালো খেলতে হবে । খেলায় হার জিত আছে কিন্তু তার মধ্যে খারাপ খেলা চলবে না,positive
"অধিনায়ক রিয়াদ আরো পরিপক্ব আর দায়িত্বশীল হবেন,শুভকামনা",positive
"কি ভাববে , নিজেদের খেলা খেলবে",negative
মাহদুল্লাহ পারবেরআশা রাখি তার উপর,positive
রিয়াদ ভাই তোমার জন্য শুভকামনা রইল!!!,positive
তিন ফুটিয়া গান‍্ডু টা কোথায়? ভারত হারলে কর ভালো ঘুম হতো ,negative
সাত জন স্পিনার দিয়ে মাঠে বোতল টানানো যায় ম্যাচ জেতা যায় না,negative
সাত জন স্পিনার দিয়ে মাঠে বোতল টানানো যায় ম্যাচ জেতা যায় না,negative
"সাকিব, তামিম, মুশফিক দল থেকে বিদায় নিলে নেপালের কাছে হোয়াটওয়াশ হতে হবে। ",negative
"সাব্বির, নাসির, এনামুল তোমাদের বলছি তোমরা যদি তোমাদের মায়ের বুকের দুধ একফোটা খেয়ে থাকো তাহলে দলে ঢোকার ইচ্ছা প্রকাশ কখনো করবে না",negative
" স্পিন দিয়ে শ্রীলংকাকে কিছুই করা যাবে না, উল্টো রঙ্গনা হেরাথ বাংলাদেশের ব্যাটসম্যানদের প্যান্ট খুলে উলঙ্গ করে দিবে।",negative
" স্পিন দিয়ে শ্রীলংকাকে কিছুই করা যাবে না, উল্টো রঙ্গনা হেরাথ বাংলাদেশের ব্যাটসম্যানদের প্যান্ট খুলে উলঙ্গ করে দিবে।",negative
অভিনন্দন আব্দুর রাজ্জাক শুভ কামনা।সাকিবের অভাবটা বাংলাদেশকে ভাবাবে।,positive
সাকিবের অভাব কেউ পূরণ করতে পারবেনা। তবে রাজ্জাক তার অভিজ্ঞতা কাজে লাগিয়ে দলকে কিছু উপহার দিতে পারেন..,neutral
" ৭জন বেটিং ছাড়া কোন ভাবেই ঠিক হবেনা কারন শ্রীলংকা উপমহাদেশের বাইরের দল না,শ্রীলংকান কন্ডিশন অার বাংলাদেশেরর কন্ডিশন প্রায় একি।",neutral
" স্পিনার দিয়ে ভালো কিছু করাটা খুব কঠিন হবে , তবে কিছুই হবেনা , এমনটা বলাও ঠিক না !",negative
শুধু স্পিন দিয়ে প্রতিপক্ষ কে ঘায়েল করার সট্র্যটেজি বনধ হওয়া দরকার | ,negative
শুধু স্পিন দিয়ে প্রতিপক্ষ কে ঘায়েল করার সট্র্যটেজি বনধ হওয়া দরকার | ,negative
ক্রিকেট খেলা দেখে কি হবে? বাংলাদেশ কত ভাল ক্রিকেট খেলে জানা হয়েগেছে।,negative
 কমপক্ষে ৮ জন বেট্সমেন লাগবে।,positive
 কমপক্ষে ৮ জন বেট্সমেন লাগবে।,neutral
 সব জানা হয়ে গেছে কি হবে।,negative
ওদের রঙ্গনা হেরাত একাই যথেষ্ট।,negative
ওদের রঙ্গনা হেরাত একাই যথেষ্ট।,negative
 দুই স্পীনার‌ের ব‌েশী খ‌েলান‌ো মোট‌েও ঠ‌িক হব‌ে না। স‌েক্ষেত্র‌ে রাজ্জাক ও ম‌োসদ্দেকই যথ‌েষ্ট।,neutral
 আব্দুর রাজ্জাকের মত ভালো মানের বোলারকে নেয়ার জন্য ধন্যবাদ।,positive
 ক্রিকেট,neutral
 বেশি বয়সি খেলোয়াড়দের দিয়ে test match বেশি করে খেলানো উচিত।,positive
অনেক দেশে ৩০ বছর পার হলেও জাতীয় দলে ডাক পায়।আমাদের দেশে ৩০ বছর বয়স হলে তাকে দলের বোঝা ভেবে ছুড়ে ফেলে দেয়া হয়।,positive
"ধেত, রাজ্জাকের কাজ কি?আমরা চাই খালেদ মাহমুদ সুজনকে!যিনি একাই ম্যাচ পাল্টে দিতে পারেন ",negative
"আমাদের মিডিয়াগুলো খেলোয়াড়দের ভাল খেলার সময় তাদের কাল্ট বা প্রতিকৃতি বানায় যা অনেকটা ভারতে শচীন, ধোনীদের ""ক্রিকেট দেবতা"" বানিয়ে তাদের মুর্তিতে ১০০০ লিটার দুধ ঢালে কিন্তু খারাপ খেললে তাদের বাড়ি ভাংতেও কুণ্ঠাবোধ করে না।",negative
এই কালচার থেকে বেরিয়ে এসে খেলোয়াড়দেরকে মানুষ ভেবে তাদেরকে দুঃসময়ে গালি না দিয়ে তাদেরকে ভুল থেকে শিক্ষা নেওয়ার জন্য সাহস যোগাতে হবে।,negative
অবশেষে পরাজয়ের ময়নাতদন্ত রিপোর্টে দেখা গেছে রবি সিমের নেটওয়ার্ক সমস্যার থাকার কারণে বাংলাদেশ দলের খেলোয়ারা আজ আপন_শক্তিতে_জ্ব লে উঠতে পারে নি।,negative
"সাকিব,তামিম র্নিভরতা কমাতে হবে, নতুন সাকিব, তামিম খুজে বের করতে হবে,বিজয় কে এতো সুযোগ দেওয়া ঠিক হয়নি",negative
 আমার কাছে মনে হয়েছে এই ম্যাচে সবাই পেশাদারিত্ব নিয়ে খেলে নাই। ,negative
লোয়ার অর্ডার ব্যাটসম্যানরা অত্যন্ত বাজে খেলেছে। ,negative
" তামিম, সাকিব ও মুশফিকের উপর সব সময় নির্ভর হয়ে খেললে এই রকম অবস্থা হতেই থাকবে।",negative
" তামিম, সাকিব ও মুশফিকের উপর সব সময় নির্ভর হয়ে খেললে এই রকম অবস্থা হতেই থাকবে।",negative
"শালার ইংল্যান্ড আসলেই বদলা, আসল খেলায় এসে গু হারা হারে!!!",negative
 সেমিতে আমাদের প্রতিপক্ষ ভারত (প্রায় নিশ্চিত)।,neutral
আরে কিছু বুজিনা ভারতের সাথে ম্যাচ হলে সব আমিপয়ারেরা ভারতের সাপট করে কেন.....?,negative
"পাকিস্তান বোলিং এ সর্বকালের সেরা একটি দল,যাদের কোনো তুলনা হয় না",positive
"পাকিস্তান বোলিং এ সর্বকালের সেরা একটি দল,যাদের কোনো তুলনা হয় না",positive
 যে কোন দলই একা ফিকসিং হয় না সাথে অন্য দলও থাকে,negative
 প্রথম বারের মতো দক্ষিণ আফ্রিকার মাটিতে সিরিজ জয়ের সুবর্ণ সুয়োগ।,positive
টারনিং পিচ বানিয়ে ওষুধ খুজে লাভ কি বাউন্সি পিচ বানালেই হয় ।,negative
টারনিং পিচ বানিয়ে ওষুধ খুজে লাভ কি বাউন্সি পিচ বানালেই হয় ।,negative
ভারতের বাহিরে বিড়াল নাম টা মুছন করার সুবর্ণ সুযোগ.,neutral
হালার পোলারা শুধু বাংলাদেশের সাথেই পারবো,negative
লেগ ভেল্কির কোন ঔসুধ নাই।আফ্রিকার মরন দশা!!,negative
লেগ ভেল্কির কোন ঔসুধ নাই।আফ্রিকার মরন দশা!!,negative
ব্যাপার না। এটা শুধুমাত্র দুর্ঘটনা ছাড়া কিছু না।,neutral
স্যার শূন্য সরকার আর লিটল বাঁশ এদের জন্য আজ ম্যাচ হেরে গেলো,negative
স্যার শূন্য সরকার আর লিটল বাঁশ এদের জন্য আজ ম্যাচ হেরে গেলো,negative
শুভগতর বদলা রুবেল কে নিলে দলে ভারসাম্য আসতো,neutral
"নাসিরের জায়গা নাই দলে,রুবেল এর জায়গা নাই দলে কিন্তু শুভগতর ঠিকই দলে জায়গা পায়...কি আছে ওর মাঝে ?",negative
 বোর্ড কি মাল খাইয়া একাদশ ঘোষণা করলো নাকি??? ,negative
ভারত যেখানে পূজারার মতো ব্যাটসম্যানকে বসিয়ে তিনটি রেগুলার পেসার নিয়ে খেলতে নামে আর আমরা একগুচ্ছ স্পিনার নিয়ে খেলতে নামলাম,negative
 সাকিব জিতলে জিতে মায় তার বউ৷,negative
"আমি বাড়ীর উঠানে সেঞ্চুরী,ডবল সেঞ্চুরী মেরে ক্যারিয়ারের সেরা সময় পার করছিলাম।",negative
 পরাজয় হয়ছি করার কিছু নাই কিন্তু মাএ ৮২ রানে অলআউট মানতে পারলাম না।!!!,negative
 পরাজয় হয়ছি করার কিছু নাই কিন্তু মাএ ৮২ রানে অলআউট মানতে পারলাম না।!!!,negative
তামিম খেললে বেশ...না খেললে সব শেষ। আজ তার জলন্ত প্রমাণ। ,negative
বাংলার গেইল (এনামুল) শুধু বা... পরিবর্তন হয়েছে আর কিছু হয়নি,negative
তামিম জিতলে জিতে তার মা।,neutral
সংবাদ সমল্মেনে এসে জাতীয় বীর ম্যাশের সহজ কথা- আমরা খেলেছি বোলিং পিচে কিন্তু তারা খেলেছে ব্যাটিং পিচে।,negative
সংবাদ সমল্মেনে এসে জাতীয় বীর ম্যাশের সহজ কথা- আমরা খেলেছি বোলিং পিচে কিন্তু তারা খেলেছে ব্যাটিং পিচে।,negative
শুভকামনা টাইগারদের জন্য।,positive
সাকিব তামিম ছাড়া বাংলাদেশের অন্য ব্যাটসম্যান গুলা বি গ্রডের,negative
সাকিব তামিম ছাড়া বাংলাদেশের অন্য ব্যাটসম্যান গুলা বি গ্রডের,negative
তবুও আশা রাখি আমরা জিতবই. ইনশা আল্লাহ্।,positive
 ব্যাক টু ব্যাক হাফসেঞ্চুরি অভিনন্দন সাকিব ভাই,positive
৫০ তে খুশি থাকেন আমাদের খেলোয়ারা।,negative
৫০ তে খুশি থাকেন আমাদের খেলোয়ারা।,negative
কিন্তু ম্যাচটা তো নিজের ইচ্ছাই হেরে যাওয়ার মত মনে হচ্ছে।,negative
৫০তে খুশি হলে হবেনা ১০০হলে হবে,negative
ত্রিদেশীয় সিরিজে টানা তিন ম্যাচে অর্ধশত করলেন বস তামিম খাঁন।,positive
🎊 তামিম ইকবাল খান. আমি জানতাম আজকে ও সে ৫০+ রান করবে,positive
ব্যাটিং রাজা বাংলার গেইল (এনামুল) আজকে ও গোল্ডেন ডাক দিছে!!,negative
 আবাল ব্যাটিং হচ্ছে..,negative
বাংলাদেশ এখনো তামিমের যোগ্য ওপেনার পেলো না।,negative
 ভাবছিলাম বিজয় ৩ বছর পর ফিরে কিছু একটা করবে।,neutral
